,id,title,description,publishedAt,channelTitle,channelId,categoryId,tags,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelViewCount,subscriberCount,hiddenSubscriberCount,videoCount,channelPublishedAt,customUrl,channelDescription,rank,dataTakenAt
1,qK5CbVH4lz4,Ich teste die KRASSESTEN 5 MINUTE CRAFTS Hacks (hilfe was ist das),"Wer kennt 5 Minute Crafts nicht? Die meisten Hacks sind so absurd, dass ich unbedingt testen musste, ob die wirklich funktionieren oder doch völliger Schwachsinn sind

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

▶︎ MEIN MERCH: https://juliabeautx.de/ (Werbung)
▶︎Mein Kalender 2021/22: https://amzn.to/3tSql59 *
▶︎Meine Handcremes: http://bit.ly/beautxful (Werbung)

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

STALK MICH..
♥︎ Tiktok: https://www.tiktok.com/@juliabeautx
♥︎ Instagram: https://www.instagram.com/juliabeautx
♥︎ Vlogkanal: https://www.youtube.com/c/BeautxVlogs
♥︎ Twitter: https://www.twitter.com/juliabeautx
♥︎ Facebook: https://www.facebook.com/juliabeautx99 
♥︎ Snapchat: juliabeautx

♥︎ für Firmen/ for companies: juliabeautx99@gmail.com

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

☛ Verwendete Musik: Epidemic Sound

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

▸ *Kamera: http://amzn.to/1CB1OAO
▸ *Objektiv: http://amzn.to/1WiggYJ
▸ *Stativ: http://amzn.to/1sUP0jL
▸ *Studioleuchten: http://amzn.to/1AXARXJ
▸ *Ringleuchte: http://amzn.to/1RH5yHn
▸ *Mein Macbook: http://amzn.to/1B2JK1P

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

Falls du weitere Fragen oder Anregungen hast, kannst du mir gerne einen Kommentar da lassen & wenn es dir gefallen hat würde ich mich sehr über einen DAUMEN HOCH freuen! ♕

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

Die mit * gekennzeichneten Links sind affiliate Links, die zum Partnerprogramm von Amazon oder Rewardstyle gehören. Solltet ihr über diese Links etwas kaufen, bekomme ich eine Vermittlungsprovision dafür. Natürlich ohne dass ihr dafür mehr bezahlen müsst! :)

⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯

Habt einen tollen Tag & macht ihn zu eurem Schönsten, Julia ♡
#5minutecrafts #test #tiktok #challenge",2021-09-05 10:01:35+00:00,Julia Beautx,UCG0E3naN7D-bgldOJvGHbtg,26,"['5 minute crafts', 'julia beautx', 'dumme beauty hacks', 'beauty hacks', 'challenge', 'crazy hacks', 'testen', 'test video', 'freckles', 'tiktok hack', 'tiktok']",137643,13344,127,351,0,427742893,2260000,False,426,2013-11-18 19:41:54+00:00,juliabeautx,"Hallo ihr Süßen!
Ich bin Julia, 22 Jahre alt und liebe es seit Anfang 2014 Videos für euch zu drehen 🥳
Ihr findet hier alles zu (mega funny) Unterhaltungsvideos wie Tiktok Hacks, verrückte Produkt Tests, Food Hacks oder geile Rezepte. Ich mach auch Challenges oder peinliche 24 Stunden Videos, hier kann alles passieren. Ich entschuldige mich im Voraus, falls ich euch verstöre :D

NEUE VIDEOS gibts (fast lol) JEDEN SONNTAG um 12 Uhr hehe

Ihr seid crazy ❤
100: 18.01.14 
1.000: 26.03.14
10.000: 17.06.14
100.000: 05.10.14
200.000: 28.01.15
500.000: 1.11.15
600.000: 16.01.16
900.000: 12.08.16
1 MIO: 9.11.16
2 MIO: 9.02.20
-
Impressum: 
Julia Beautx 
c/o B W M Communications  
Rosenstraße 32
50678 Köln 
https://www.bwm-com.com/impressum.php
cgn@bwm-com.com
Fax: 03212 1044134
-
Julia Beautx ist Teilnehmer des Partnerprogramms von Amazon EU, das zur Bereitstellung eines Mediums für Websites konzipiert wurde, mittels dessen durch die Platzierung von Werbeanzeigen und Links zu Amazon.de",1,2021-09-05 22:00:04.663844
2,YlcXOjcjSLs,Es ist endlich soweit.. 🌪️,"Direkt zu meinem ersten Comic: https://GLP.TV/Comic *
Die Musik wurde von @Roman Heuser für diesen Trailer gecovert!
📚 Fanartikel & Erster Comic https://GLP.TV/Shop 📚
🎮 Abo https//GLP.TV • Twitter https://GLP.TV/Twitter 🐦
🕹️ Epic Creator Code GLP 🕹️
🎤 Livestream https://GLP.TV/Stream 🎤

Alle mit einem * versehenen Links sind Werbung.

➜For business only:
GermanLetsFail[at]gmail.com",2021-09-05 10:00:27+00:00,GermanLetsPlay,UCfWtqPyBMG_7i33OeeNsZZw,20,"['GermanLetsPlay', 'Comic', 'im Wirbel der Welten', 'GermanLetsPlay: im Wirbel der Welten', 'Animation', 'GLP Animation', 'GLP']",223708,31985,804,1717,0,2355196745,3570000,False,6733,2010-11-13 22:17:02+00:00,germanletsplay,"Minecraft, Minispiele, Minecraft VARO, Minecraft Bedwars, Sims 4, Browser Games & mehr
Von Let's Plays zu neuen Spielen über Retro-Games bis hin zu Indie-Titeln findest Du hier Videos aus allen Genres.

Gameplay Videos Kommentiert von GermanLetsPlay.


Impressum:

GLP - GermanLetsPlay

c/o
flow:fwd GmbH
Große Elbstraße 145F
22767 Hamburg

Telefon: +49 40 609439955
Geschäftsführer: M. Frey
Gerichtsstand Hamburg, HRB 136994.",2,2021-09-05 22:00:04.663844
3,uocETPj4Jx4,"Extreme $500,000 Game Of Tag!","I did not expect that to happen at the end...
New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",2021-09-04 20:00:07+00:00,MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,24,[],19643255,1548005,9489,58893,0,12326118340,68200000,False,711,2012-02-20 00:43:50+00:00,mrbeast6000,"Accomplishments
- Raised $20,000,000 To Plant 20,000,000 Trees
- Given millions to charity
- Donated over 100 cars lol
- Gave away a private island
- Given away over 100 ps4s lol
- Gave away 1 million dollars in one video 
- Counted to 100k
- Read the Dictionary
- Watched Dance Till You're Dead For 10 Hours
- Read Bee Movie Script
- Read Longest English Word
- Watched Paint Dry
- Ubering Across America
- Watched It's Every Day Bro For 10 Hours
- Ran a marathon in the world's largest shoes
- Adopted every dog in a shelter
You get the point haha



*Do not email me asking for money, I give away money because it makes me happy :)",3,2021-09-05 22:00:04.663844
4,Kz-BLGWI4mA,Warum ist Schrott für 0 Euro SO GUT?!,"Endlich das Finale der #SchinaSchrott Challenge: Null Euro! Warum das gar nicht so einfach war, aber das am Ende für 0 Euro wahrscheinlich das beste bei rumgekommen ist, seht ihr in diesem Video!
► Besseres Zeug kaufen*: https://www.amazon.de/shop/alexibexi
► Kanalmitglied werden:
https://www.youtube.com/channel/UCzH549YlZhdhIqhtvz7XHmQ/join

► Twitch: http://twitch.tv/alexibexi
► Instagram: http://instagram.com/alexibexi
► Twitter: http://twitter.com/alextv

Kapitelmarker:
0:00 Einführung
1:55 Schlimmer Schrott für 0 Euro
3:45 Nicer Schrott
12:30 Fazit

► BLOG: http://www.alexboehm.net

► Packstation:
Alex Böhm
PostNummer: 817904289
Packstation 147
21629 Neu Wulmstorf

► Abonnieren und Glocke nicht vergessen!

Inhalt: Alex
Schnitt: Alex

// Dieses Video beinhaltet keine bezahlte Produktplatzierung. Alle gezeigten Geräte wurden selbst besorgt. //
// *Affiliate-Link: Euch entstehen keine Kosten oder Nachteile. Kauf über diesen Link erwirtschaftet eine einstellig prozentuale Provision. //",2021-09-05 10:00:07+00:00,AlexiBexi,UCzH549YlZhdhIqhtvz7XHmQ,24,[],121559,9481,104,653,0,387735613,1500000,False,734,2006-03-10 16:50:16+00:00,alexibexi,"Jede Woche bis zu zwei Videos. Geil, oder? Besucht auch meine anderen Kanäle!

Allgemeine Teilnahmebedingungen für meine Gewinnspiele (und weitere Infos): http://alexboehm.net/teilnahmebedingungen
Impressum: https://alexboehm.net/impressum",4,2021-09-05 22:00:04.663844
5,GewqJPJKuLQ,Ist Memets DÖNER wirklich Deutschlands Nr.1? Mit  @Giggsen Live  + Flamingo Döner,"Gönnt euch CyberGhost VPN 84% günstiger für nur 1,95€/Monat + 4 Monate Gratis!
https://cyberghostvpn.com/Holle21614

Giggsen 
Youtube: https://youtube.com/channel/UCUmK30nyEJTv9rWwcj79w_w
Instagram: https://instagram.com/giggsen03?utm_medium=copy_link

Alle Infos zu Mehmet:
https://instagram.com/ehrenbruder_mehmet01?utm_medium=copy_link

Flamingo:
Bahnhofstaraße 21
21614 Buxtehude

Hauptkanal „Holle21614“Alle Videos:
https://www.youtube.com/c/Holle21614
Instagram: https://www.instagram.com/holle21614/
TikTok: https://www.tiktok.com/@holle21614
https://www.twitch.tv/holle21614
Highlight Channel „Saftige Momente“
YouTube: https://www.youtube.com/channel/UC-v2G4akM2SG8q47v_zh9hg/videos
Instagram: https://www.instagram.com/saftigemomente/

Storie Channel ""Alle Instagram-Stories""
https://www.youtube.com/channel/UC6fuaShRiyooGBc2zexD-tg/featured?disable_polymer=1
_

Mein offizieller partner Zecplus: https://www.zecplus.de/
_

Intro: inszenety
Musik: ""Too Cool"" Kevin MacLeod (incompetech.com). Licensed under Creative Commons: By Attribution 3.0 License

Sound : Daniel Bernath / The Delta Mode

Intro von Sultan-Döner: 
https://instagram.com/dereinzigwahreahmed?utm_medium=copy_link

#buxtehude #döner #bewerten",2021-09-05 07:59:01+00:00,Holle21614,UCqixU2fRh-sjDwX5b1evoKg,24,"['Döner', 'essen', 'food', 'fleisch', 'tzaziki', 'saucen', 'lecker', 'foodtour', 'buxtehude', 'mehmet', 'bewerten', 'kritisieren', 'kritiker', 'bewertung', 'salat', 'giggsen', 'giggsen live']",88594,6413,73,360,0,4714068,152000,False,38,2019-04-18 08:12:47+00:00,holle21614,"Wir haben eine Mission! Wir suchen die Besten Döner, Pizzen, Burger ganz Deutschlands! Dafür fahre ich durch das ganze Land. Schreibt mir deine Empfehlung für mein nächstes Ziel in die Kommentare, vielleicht bin ich schon bald in deiner Stadt!",5,2021-09-05 22:00:04.663844
6,HwmOqLFGsWc,Wie viel Dividende wirft ein 100.000€ Portfolio monatlich ab? | Finanzfluss,"2.500€ Dividende monatl. mit einem 100K € Portfolio? Geht das?
Kostenloses Depot eröffnen: ►► https://www.finanzfluss.de/go/depot?utm_source=youtube&utm_medium=418&utm_campaign=comdirect-depot&utm_term=kostenlos-25&utm_content=yt-desc *📈 
In 4 Wochen zum souveränen Investor: ►► https://www.finanzfluss.de/go/campus?utm_source=youtube&utm_medium=418&utm_campaign=ff-campus&utm_term=4-wochen&utm_content=yt-desc 🧠 


ℹ️ Weitere Infos zum Video:

Ein Zuschauer hat uns gefragt, wie er 100.000€ so anlegen kann, dass er monatlich 2500€ an Dividende erhält. Wir haben mehrere Szenarien durchgerechnet . Im Video erfahrt ihr, ob dieser Betrag wirklich realistisch ist und wie lange es dauert dies zu erreichen. Viel Spaß!

• Sparrechner: https://www.finanzfluss.de/rechner/sparrechner/
• Entnahmeplan-Rechner: https://www.finanzfluss.de/rechner/entnahmeplan/

👦🏻 Diese Finanzprodukte nutzt Thomas: 

• Depot: https://www.finanzfluss.de/go/depot?utm_source=youtube&utm_medium=418&utm_campaign=comdirect-depot&utm_term=thomas&utm_content=yt-desc *📈
• Zweitdepot: https://www.finanzfluss.de/go/depot-2?utm_source=youtube&utm_medium=418&utm_campaign=trade-republic-depot&utm_term=thomas&utm_content=yt-desc *📱
• Girokonto: https://www.finanzfluss.de/go/girokonto?utm_source=youtube&utm_medium=418&utm_campaign=n26-girokonto&utm_term=thomas&utm_content=yt-desc *💳
• Kryptobörse: https://finanzfluss.de/go/krypto-boerse?utm_source=youtube&utm_medium=418&&utm_campaign=kryptoboerse&utm_term=thomas&utm_content=yt-desc *💻
Portfolio-Visualisierung: https://www.finanzfluss.de/go/tresor-one?utm_source=youtube&utm_medium=418&utm_campaign=tresor-one&utm_term=thomas&utm_content=yt-desc *📊

💪 Nimm deine Finanzen in die eigenen Hände!

• Kostenloser Online-Crashkurs: https://www.finanzfluss.de/go/webinar?utm_source=youtube&utm_medium=418&utm_campaign=ff-campus-webinar&utm_term=crashkurs&utm_content=yt-desc
• Zum Finanzfluss Campus: https://www.finanzfluss.de/go/campus?utm_source=youtube&utm_medium=418&utm_campaign=ff-campus&utm_term=finanzfluss-campus&utm_content=yt-desc


⚒️ Nützliche Tools für deine Finanzen

• Haushaltsbuch (Excel) https://www.finanzfluss.de/go/haushaltsbuch?utm_source=youtube&utm_medium=418&utm_campaign=ff-haushaltsbuch&utm_term=tools&utm_content=yt-desc
• Kommer Weltportfolio (Excel) https://www.finanzfluss.de/go/weltportfolio?utm_source=youtube&utm_medium=418&utm_campaign=ff-weltportfolio&utm_term=tools&utm_content=yt-desc
• Schritt-für-Schritt Anleitung zum Investieren: https://www.finanzfluss.de/go/investieren-tutorial?utm_source=youtube&utm_medium=418&utm_campaign=ff-investieren-tutorial&utm_term=tools&utm_content=yt-desc


📱 Podcast, Instagram & mehr:  https://www.finanzfluss.de/linkliste?utm_source=youtube&utm_medium=418&utm_campaign=ff-linkliste&utm_term=podcast-instagram&utm_content=yt-desc

📚 Unsere Lieblingsbücher:  https://www.finanzfluss.de/go/bibliothek?utm_source=youtube&utm_medium=418&utm_campaign=amazon-bookshop&utm_term=lieblingsbuecher&utm_content=yt-desc *

0:00 Einleitung
0:33 Zuschauerfrage: 2500€ monatlich mit Dividenden erhalten
1:44 Dividende bei 100.000€ und FTSE High Dividend Yield
5:25 Rechenbeispiel 100.000€ 19 Jahre lang anlegen mit 500€ monatlicher Sparrate
8:46 Excel Tabelle für Berechnung tausender Renditeszenarien
10:45 Grafische Darstellung des durchschnittlichen Endkapitals
12:30 Weitere Szenarien je nach Dividendenrendite
14:00 Entnahmeplan-Rechner: Wie lange man bei 440.000€ monatlich 2500€ entnehmen kann.
15:15 Fazit
16:50 Outro

----------------------------------------------------------------------------------------------------------
* Hierbei handelt es sich um einen Werbe- oder einen Affiliate-Link. Wenn du auf diesen Link klickst, etwas kaufst oder abschließt, erhalten wir (je nach Anbieter) eine Provision. Dir entstehen dadurch keine Mehrkosten und du unterstützt unser Projekt. Wir danken dir für deinen Support! 🙏",2021-09-05 08:00:04+00:00,Finanzfluss,UCeARcCUiZg79SQQ-2_XNlXQ,27,"['dividenden strategie', 'dividenden', 'dividenden portfolio', 'finanzfluss', 'etf', 'etfs', 'aktie', 'dividenden aktien', 'von dividenden leben', 'finanzielle freiheit', 'reich werden', 'dividenden rechner', 'sparrechner', 'entnahmeplan rechner', '100000 euro dividenden portfolio', 'monatliche dividende', 'von aktien leben', 'dividendenrechner', 'wieviel geld braucht man um nicht mehr arbeiten zu müssen', '2500 euro dividende', 'dividenden depot aufbauen', '100000 euro anlegen', 'passives einkommen', 'altersvorsorge']",87153,4618,64,660,0,83024451,799000,False,412,2015-08-20 10:26:55+00:00,finanzfluss,"Auf Finanzfluss findest du jede Woche neue, praktische Videos, rund um das Thema persönliche Finanzen, Sparen und Investieren. Wir wollen dir helfen die Finanzwelt besser zu verstehen und dich finanziell fit machen.

Passives Investieren mithilfe von ETFs ist bei uns ein wiederkehrendes Thema, da es der einfachste und meistens auch der rentabelste Weg ist, mit dem Investieren loszulegen. Schau dir zu diesem Thema doch auch mal unsere Playlists an.

Wenn du kein Video mehr verpassen möchtest, abonniere doch unseren Kanal und bleibe mit uns über Instagram, Twitch, Discord, Facebook und Twitter in Verbindung.

Schreib' uns auch gerne an, falls du Fragen oder Anregungen für uns hast.

Viel Spaß mit unseren Videos :-)

_________________________________________________________________

Impressum: https://www.finanzfluss.de/impressum/",6,2021-09-05 22:00:04.663844
7,XJlY7O0X0L8,Qualifying Highlights | 2021 Dutch Grand Prix,"Zooming around Zandvoort! Drivers were on the limit for their flying laps around the newest addition to the F1 calendar, as home hero Max Verstappen looked to make it back-to-back pole positions since the summer break

For more F1® videos, visit http://www.Formula1.com

Follow F1®:
http://www.instagram.com/F1
https://www.facebook.com/Formula1/
http://www.twitter.com/F1
https://www.twitch.tv/formula1
https://www.tiktok.com/@f1

#F1 #DutchGP",2021-09-04 15:25:17+00:00,FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,17,"['F1', 'Formula One', 'Formula 1', 'Sports', 'Sport', 'Action', 'GP', 'Grand Prix', 'Auto Racing', 'Motor Racing', '2021 Dutch Grand Prix', 'Motorsport', 'Max Verstappen', '2021 Dutch Grand Prix Highlights', 'Highlights', 'Qualifying', '2021 Dutch Grand Prix Qualifying', '2021 Dutch Grand Prix Qualifying Highlights', 'Max Verstappen Pole Position', 'Verstappen Pole Position', 'Zandvoort Qualifying', 'Zandvoort Qualifying Highlights', 'Zandvoort F1']",2901949,79012,846,5011,0,3362855042,6070000,False,4223,2005-12-29 00:34:38+00:00,f1,The Official F1® YouTube Channel – See more at www.Formula1.com,7,2021-09-05 22:00:04.663844
8,dX5I7SkSbkQ,Ich habe 50 TAGE MINECRAFT ONE BLOCK gespielt und DAS ist passiert!,"Hey, ich bin Gustaf!
In meinem heutigen Video hab ich insgesamt 50 Tage auf der Minecraft Map One Block gespielt und fasse euch in diesem Video zusammen was ich alles erlebt habe. Lasst gerne eine Like da, wenn euch das Video gefällt, es steckt wieder mal eine Menge Arbeit darin.
---------------------------------------------------------------------------------------------------------
Map Download:
https://ijaminecraft.com/map/oneblock/
Shader Download:
https://www.curseforge.com/minecraft/...
---------------------------------------------------------------------------------------------------------
Verwendete Musik:

https://www.youtube.com/watch?v=7KaD5...

https://www.youtube.com/watch?v=7fF-3...

https://www.youtube.com/watch?v=5wcBi...
---------------------------------------------------------------------------------------------------------
Social Media:
TikTok: https://www.tiktok.com/@einfach.gustaf
Instagram: https://www.instagram.com/einfachgustaf
Twitter: https://twitter.com/Gustfaaf",2021-09-05 10:00:30+00:00,EinfachGustaf,UCsVoLraj72EQy5YssyZBw1w,20,"['Minecraft', 'One Block', 'Minecraft One Block', 'Oneblock', 'Minecraft Skyblock', 'Skyblock', 'Gustaf', 'Ich habe 50 Tage', 'Ich habe 100 Tage', 'Tage Minecraft', 'BastiGHG', 'Minecraft Map', 'Einfach Gustaf', 'EinfachGustav', 'Einfach Gustav']",37417,8393,26,457,0,992959,41400,False,7,2016-11-20 11:28:42+00:00,einfachgustaf,"Moin, ich bin Gustaf! :)
Auf meinem Kanal findet ihr mit viel Liebe erstellte Gaming Videos.
Lasst gerne ein Abo da, falls euch das ganze gefällt.
",8,2021-09-05 22:00:04.663844
9,9PtBdMXxV10,Haas-Hass eskaliert: Mazepin attackiert Schumacher!,"Es brodelte in der Formel 1, jetzt ist der Haas-Hass zwischen Nikita Mazepin und Mick Schumacher eskaliert! 

Nach dem Qualifying in Zandvoort schimpfte Mazepin auf seinen Teamkollegen und sein Team. Schumacher habe mit seinem Überholmanöver gegen ihn sein wahres Gesicht gezeigt und eine Abmachung gebrochen.

Leidtragender des Haas-Zoffs war Sebastian Vettel, der von beiden auf seiner schnellen Runde aufgehalten wurde - so schied er schon in Q1 aus. 

Aber das war nicht der einzige Aufreger des Qualifying-Samstags beim Großen Preis der Niederlande in Zandvoort. Bereits am Morgen gab es Sorgen: Max Verstappen drohte eine Strafe und Kimi Räikkönen wurde positiv getestet! Der Iceman wird in Zandvoort durch Alfa-Romeo-Ersatzfahrer Robert Kubica ersetzt.

Sportlich setzte sich Lokalmatador Max Verstappen hauchdünn gegen Lewis Hamilton durch - trotz einer fehlerhaften Runde. Wie geht es jetzt im Rennen zwischen Red Bull und Mercedes weiter? 

Übersicht:
00:00 Intro
00:34 Kubica ersetzt Räikkönen
02:20 Mazepin vs. Schumacher
06:35 Verstappen auf Pole
08:35 Ausblick: Rennen

#F1 #Mazepin #Schumacher

Mehr Motorsport-Magazin von uns für Euch:

MSM Plus (werbefreie Webseite, App & Videos): 
https://www.motorsport-magazin.com/goto/msmplus/

Bestelle unser Print-Magazin: 
https://www.motorsport-magazin.com/goto/abo/

Oder als Epaper: 
https://www.motorsport-magazin.com/goto/epaper/

Unterstütze uns: 
https://www.motorsport-magazin.com/goto/support/

Unsere App downloaden: 
https://www.motorsport-magazin.com/goto/app/

YouTube-Kanalmitgliedschaft: https://www.youtube.com/channel/UCty0XKRffgfNWpiPcRbFXbA/join",2021-09-05 06:30:04+00:00,Motorsport-Magazin,UCty0XKRffgfNWpiPcRbFXbA,17,"['Formel 1', 'F1', 'Haas', 'Mick Schumacher', 'Nikita Mazepin', 'Zandvoort', 'Max Verstappen', 'Qualifying', 'Red Bull', 'Mercedes', 'Lewis Hamilton', 'Sebastian Vettel']",109540,4191,74,537,0,46619420,122000,False,1477,2009-07-22 10:48:57+00:00,motorsportmagazincom,"Formel 1, DTM, Formel E & noch viel mehr: wir bieten unserer MSM-Familie rasante Motorsport- und Racing-Action für echte Fans! Wir recherchieren für Dich an den Rennstrecken in aller Welt und versorgen Dich mit spannenden Diskussionen, ausführlichen Analysen und den besten Fun Facts dies- und jenseits des Paddocks!

Impressum: https://www.motorsport-magazin.com/impressum.html
",9,2021-09-05 22:00:04.663844
10,kzSyMn8dqtQ,Alexander Zverev vs Jack Sock Highlights | 2021 US Open Round 3,"Alexander Zverev takes on Jack Sock in Round 3 of the 2021 US Open. 

Don't miss a moment of the US Open! Subscribe now: https://bit.ly/2Pdr81i

The 2021 US Open main draw runs from August 30 - September 12 in New York City at the USTA Billie Jean King National Tennis Center. The tournament takes place for the 141st time and is the fourth and final Grand Slam of the year. Dominic Thiem is the men’s singles defending champion but has withdrawn following an injury. Naomi Osaka is the women’s singles defending champion and will be aiming to claim the title for the third time in four years. Meanwhile, No. 1 seed Novak Djokovic looks to complete the calendar Grand Slam after winning the Australian Open, French Open and Wimbledon already this year. Should the Serbian lift the title here for the fifth time, he will also overtake Roger Federer and Rafael Nadal to become the first-ever man to win 21 Grand Slam singles titles. With full capacity crowds back again, it’s time for the greatest return!

Twitter: https://twitter.com/usopen
Facebook: https://facebook.com/usopentennis
Instagram: https://instagram.com/usopen
Website: https://www.usopen.org
TikTok: https://tiktok.com/@usopen",2021-09-05 04:55:22+00:00,US Open Tennis Championships,UCXbboag48Qlr78zzz6SkzkQ,17,"['A. Zverev', 'A. Zverev vs. J. Sock', 'J. Sock', 'Alexander Zverev vs Jack Sock', 'Alexander Zverev', 'Jack Sock', 'Round 3', 'Tennis', 'us open tennis', 'us open', 'us open tennis championships', 'US Open 2021', '2021 US Open', 'us open 2021', '2021 us open', '2021 tennis', 'New York City', 'USTA', '141st edition', 'Grand Slam', 'US Open 2021 tennis', '2021 US Open tennis', 'Round 3 Highlights']",434046,4526,117,474,0,294030916,412000,False,4125,2006-07-03 05:21:32+00:00,usopen,The Official YouTube Channel of the US Open.,10,2021-09-05 22:00:04.663844
